step,key,value,unit,source
0,train.loss,2.323383331298828,cross_entropy,EXPERIMENT
0,train.accuracy,0.0625,fraction,EXPERIMENT
50,validation.loss,1.8506017684936524,cross_entropy,EXPERIMENT
50,validation.accuracy,0.6214,fraction,EXPERIMENT
50,train.loss,1.8709690570831299,cross_entropy,EXPERIMENT
50,train.accuracy,0.640625,fraction,EXPERIMENT
100,validation.loss,0.7371840700149536,cross_entropy,EXPERIMENT
100,validation.accuracy,0.8196,fraction,EXPERIMENT
100,train.loss,0.7132239937782288,cross_entropy,EXPERIMENT
100,train.accuracy,0.8125,fraction,EXPERIMENT
150,validation.loss,0.4686936389923096,cross_entropy,EXPERIMENT
150,validation.accuracy,0.8741,fraction,EXPERIMENT
150,train.loss,0.3979000747203827,cross_entropy,EXPERIMENT
150,train.accuracy,0.8828125,fraction,EXPERIMENT
200,validation.loss,0.38311144852638246,cross_entropy,EXPERIMENT
200,validation.accuracy,0.8934,fraction,EXPERIMENT
200,train.loss,0.48424214124679565,cross_entropy,EXPERIMENT
200,train.accuracy,0.875,fraction,EXPERIMENT
250,validation.loss,0.3327005892753601,cross_entropy,EXPERIMENT
250,validation.accuracy,0.9035,fraction,EXPERIMENT
250,train.loss,0.23689477145671844,cross_entropy,EXPERIMENT
250,train.accuracy,0.953125,fraction,EXPERIMENT
300,validation.loss,0.30581903467178345,cross_entropy,EXPERIMENT
300,validation.accuracy,0.9118,fraction,EXPERIMENT
300,train.loss,0.3883635997772217,cross_entropy,EXPERIMENT
300,train.accuracy,0.875,fraction,EXPERIMENT
313,train.epoch_loss,0.8259251113891601,cross_entropy,EXPERIMENT
313,train.epoch_accuracy,0.7796,fraction,EXPERIMENT
313,validation.loss,0.2992537203788757,cross_entropy,EXPERIMENT
313,validation.accuracy,0.9123,fraction,EXPERIMENT
313,performance.examples_per_second,1409.2288019658997,examples/second,EXPERIMENT
313,performance.epoch_duration_seconds,28.384319100063294,seconds,EXPERIMENT
313,system.cpu.percent,98.7,percent,SYSTEM
313,system.memory.used_mb,371.20703125,MB,SYSTEM
350,validation.loss,0.2792152403831482,cross_entropy,EXPERIMENT
350,validation.accuracy,0.917,fraction,EXPERIMENT
350,train.loss,0.46723800897598267,cross_entropy,EXPERIMENT
350,train.accuracy,0.8671875,fraction,EXPERIMENT
400,validation.loss,0.25301368753910064,cross_entropy,EXPERIMENT
400,validation.accuracy,0.9256,fraction,EXPERIMENT
400,train.loss,0.19326208531856537,cross_entropy,EXPERIMENT
400,train.accuracy,0.9375,fraction,EXPERIMENT
450,validation.loss,0.23513862702846527,cross_entropy,EXPERIMENT
450,validation.accuracy,0.9298,fraction,EXPERIMENT
